Nome,ORCID
Alex Fabiano Cortez Campos,0000-0002-7918-8522
Alexandre Fonseca,0000-0001-5895-9669
Aline Lima de Oliveira Paterno,
Alysson Martins Almeida Silva,
Ana Cristi Basile Dias,0000-0002-3945-1373
Angelo Henrique de Lira Machado,0000-0003-4284-9929
Brenno Amaro da Silveira Neto,0000-0003-3783-9283
Carlos Jose Domingos da Cruz,
Carlos Kleber Zago de Andrade,
Carlos Martin Infante Cordova,
Claudia Cristina Gatto,0000-0002-3736-6861
Cyro Lucas Silva Chagas,0000-0002-5120-982X
Daniel Francisco Scalabrini Machado,0000-0001-9690-6090
Davi Alexsandro Cardoso Ferreira,
Douglas da Costa Gontijo,
Erica Cristina Moreno Nascimento,
Fabricio Machado Silva,0000-0002-3041-1906
Fernanda Vasconcelos de Almeida,
Fernando Fabriz Sodre,0000-0001-7697-8492
Floriano Pastore Junior,
Gabriel Silva Vignoli Muniz,
Grace Ferreira Ghesti,0000-0003-1043-5748
Guilherme Dotto Brand,0000-0002-1615-0009
Ingrid Tavora Weber,
Jez Willian Batista Braga,0000-0001-9417-8114
João Batista Lopes Martins,0000-0001-8677-3239
Jose Alves Dias,0000-0003-0042-0091
Jose Joaquin Linares Leon,
Jose Roberto dos Santos Politi,
Julio Lemos de Macedo,
Jurandir Rodrigues de Souza,0000-0003-1646-4304
Kaline Amaral Wanderley,0000-0002-3223-4501
Katia Mara de Oliveira,0000-0003-4749-0281
Leonardo Giordano Paterno,0000-0001-7716-0318
Livia de Lacerda de Oliveira,
Marcelo Oliveira Rodrigues,
Mauro Vicentini Correia,
Paulo Anselmo Ziani Suarez,
Silvia Cláudia Loureiro Dias,0000-0002-3351-9226
Tarcisio Silva de Almeida,
Wender Alves da Silva,0000-0003-1215-0754
